55,體適能(一),1,002 50020,一8.9
J5,適應體育(生理班),1,002 50080,一0.1
L7,適應體育(肢體班),1,002 50090,二3.4
A8,低衝擊有氧,1,002 50170,二8.9
A9,低衝擊有氧,1,002 50170,三8.9
53,現代舞,1,002 50290,一6.7
54,現代舞,1,002 50290,四8.9
A5,現代舞,1,002 50290,二6.7
A6,現代舞,1,002 50290,三6.7
A7,現代舞,1,002 50290,四6.7
N6,標準舞,1,002 50310,三6.7
N7,標準舞,1,002 50310,三8.9
32,太極劍,1,002 50370,三1.2
28,太極拳初級,1,002 50390,一1.2
29,太極拳初級,1,002 50390,一3.4
30,太極拳初級,1,002 50390,二1.2
31,太極拳初級,1,002 50390,二3.4
24,柔道初級,1,002 50440,二1.2
25,柔道初級,1,002 50440,三1.2
26,柔道初級,1,002 50440,三3.4
D3,柔道初級,1,002 50440,二6.7
D4,柔道初級,1,002 50440,二8.9
17,手球中級,1,002 50570,一6.7
18,手球中級,1,002 50570,一8.9
P2,手球初級,1,002 50580,三8.9
P3,女手球校隊,1,002 50590,一A.B.C.D三A.B.C.D
P1,男手球校隊,1,002 50600,一A.B.C.D三A.B.C.D
45,游泳初級,1,002 50630,四6.7
46,游泳初級,1,002 50630,四8.9
97,游泳初級,1,002 50630,一6.7
98,游泳初級,1,002 50630,一8.9
H5,游泳初級,1,002 50630,三6.7
H6,游泳初級,1,002 50630,三8.9
K2,游泳初級,1,002 50630,四1.2
K3,游泳初級,1,002 50630,四3.4
L6,游泳初級,1,002 50630,二1.2
M3,游泳初級,1,002 50630,五6.7
M4,游泳初級,1,002 50630,五8.9
M9,游泳初級,1,002 50630,五1.2
N1,游泳初級,1,002 50630,五3.4
J6,水球,1,002 50650,一3.4
04,女游泳校隊,1,002 50680,二A四A六A
03,男游泳校隊,1,002 50690,一A三A五A
94,游泳與救生,1,002 50700,二6.7
38,田徑與慢跑,1,002 50730,三1.2
39,田徑與慢跑,1,002 50730,三3.4
56,田徑與慢跑,1,002 50730,四1.2
58,女田徑校隊,1,002 50740,一A.B四A.B
40,男田徑校隊,1,002 50750,一A.B三A.B四A.B
05,羽球初級,1,002 50780,二1.2
06,羽球初級,1,002 50780,二3.4
07,羽球初級,1,002 50780,三1.2
08,羽球初級,1,002 50780,三3.4
09,羽球初級,1,002 50780,四3.4
11,羽球初級,1,002 50780,二6.7
12,羽球初級,1,002 50780,二8.9
13,羽球初級,1,002 50780,四6.7
14,羽球初級,1,002 50780,四8.9
19,羽球初級,1,002 50780,三6.7
20,羽球初級,1,002 50780,三8.9
66,羽球初級,1,002 50780,一6.7
67,羽球初級,1,002 50780,一8.9
68,羽球初級,1,002 50780,五1.2
82,羽球初級,1,002 50780,二1.2
83,羽球初級,1,002 50780,二3.4
B2,羽球初級,1,002 50780,二1.2館1F)
B3,羽球初級,1,002 50780,二3.4館1F)
B4,羽球初級,1,002 50780,三1.2
B5,羽球初級,1,002 50780,五3.4
H9,羽球初級,1,002 50780,四1.2
J3,羽球初級,1,002 50780,二6.7
J4,羽球初級,1,002 50780,二8.9
81,羽球中級,1,002 50790,一1.2
B6,羽球中級,1,002 50790,三3.4
J1,羽球中級,1,002 50790,四3.4
88,女羽球校隊,1,002 50820,二A.B.C.D四A.B.C.D
87,男羽球校隊,1,002 50830,二A.B.C.D四A.B.C.D
59,足球初級,1,002 50860,二6.7
60,足球初級,1,002 50860,二8.9
61,足球中級,1,002 50870,三8.9
65,男足球校隊,1,002 50880,三A.B.C六1.2.3.4
N4,有氧舞蹈,1,002 50890,三1.2
N5,有氧舞蹈,1,002 50890,三3.4
D6,桌球初級,1,002 50900,二1.2
D7,桌球初級,1,002 50900,二3.4
D8,桌球初級,1,002 50900,三6.7
D9,桌球初級,1,002 50900,三8.9
G3,桌球初級,1,002 50900,三1.2
G4,桌球初級,1,002 50900,三3.4
G5,桌球初級,1,002 50900,四6.7
G6,桌球初級,1,002 50900,四8.9
J9,桌球初級,1,002 50900,一6.7
K1,桌球初級,1,002 50900,一8.9
K8,桌球初級,1,002 50900,二6.7
L3,桌球初級,1,002 50900,五1.2
L4,桌球初級,1,002 50900,五3.4
K9,桌球中級,1,002 50910,二8.9
H1,女桌球校隊,1,002 50930,二A.B.C四A.B.C
G9,男桌球校隊,1,002 50950,二A.B.C四A.B.C
85,排球初級,1,002 50960,三1.2
86,排球初級,1,002 50960,三3.4
99,排球初級,1,002 50960,二6.7
A1,排球初級,1,002 50960,二8.9
F1,排球初級,1,002 50960,四6.7
F2,排球初級,1,002 50960,四8.9
A2,排球中級,1,002 50970,三6.7
A3,排球中級,1,002 50970,三8.9
F3,女排球校隊,1,002 50980,一A.B.C.D三A.B.C.D
A4,男排球校隊,1,002 50990,一A.B.C.D三A.B.C.D
C2,籃球初級,1,002 51010,一3.4
C3,籃球初級,1,002 51010,四6.7
C4,籃球初級,1,002 51010,四8.9
F9,籃球初級,1,002 51010,三1.2
G1,籃球初級,1,002 51010,三3.4
J7,籃球初級,1,002 51010,四1.2
L1,籃球初級,1,002 51010,三6.7
L2,籃球初級,1,002 51010,三8.9
L8,籃球初級,1,002 51010,一6.7
L9,籃球初級,1,002 51010,一8.9
C5,籃球中級,1,002 51020,二6.7
J8,籃球中級,1,002 51020,四3.4
K6,籃球中級,1,002 51020,五6.7
K7,籃球中級,1,002 51020,五8.9
C6,女籃球校隊,1,002 51030,二A.B四C.D
G2,男籃球校隊,1,002 51040,二C.D四A.B
34,高爾夫初級,1,002 51060,一6.7館1F)
35,高爾夫初級,1,002 51060,一8.9館1F)
36,高爾夫初級,1,002 51060,二1.2
37,高爾夫初級,1,002 51060,二3.4
M6,高爾夫初級,1,002 51060,四3.4
M7,高爾夫初級,1,002 51060,三1.2
M8,高爾夫初級,1,002 51060,三3.4
80,高爾夫校隊,1,002 51090,六0.1.2.3
73,壘球初級,1,002 51120,一6.7
74,壘球初級,1,002 51120,一8.9
N2,壘球初級,1,002 51120,五1.2
N3,壘球初級,1,002 51120,五3.4
72,女壘球校隊,1,002 51150,六6.7.8.9.10
C7,男壘球校隊,1,002 51160,六1.2.3.4
01,棒球初級,1,002 51180,三6.7
L5,棒球初級,1,002 51180,二6.7
M5,棒球中級,1,002 51190,四1.2
02,棒球校隊,1,002 51200,六1.2.3.4
96,女軟網校隊,1,002 51240,二A.B.C.D四A.B.C.D
95,男軟網校隊,1,002 51250,二A.B.C.D四A.B.C.D六6.7.8.9
10,網球初級,1,002 51260,四1.2
22,網球初級,1,002 51260,一1.2
23,網球初級,1,002 51260,一3.4
41,網球初級,1,002 51260,三6.7
42,網球初級,1,002 51260,三8.9
43,網球初級,1,002 51260,五6.7
75,網球初級,1,002 51260,二6.7
76,網球初級,1,002 51260,三3.4網球場)
92,網球初級,1,002 51260,四8.9
G7,網球初級,1,002 51260,五1.2
J2,網球初級,1,002 51260,二1.2
K4,網球初級,1,002 51260,三1.2
K5,網球初級,1,002 51260,三3.4
77,網球中級(一),1,002 51270,二8.9
93,網球中級(一),1,002 51270,一8.9
G8,網球中級(一),1,002 51270,五3.4
47,女網球校隊,1,002 51290,三B.C.D五10.A.B.C.D
79,男網球校隊,1,002 51300,三B.C.D五10.A.B.C.D
N8,橄欖球,1,002 51330,四6.7
N9,橄欖球,1,002 51330,四8.9
33,橄欖球校隊,1,002 51340,六8.9.10
C8,瑜珈,1,002 51370,一0.1
C9,瑜珈,1,002 51370,一3.4
D1,瑜珈,1,002 51370,三0.1
D2,瑜珈,1,002 51370,三3.4
B8,擊劍校隊,1,002 51460,三A.B.C.D五A.B.C.D六2.3.4.5.6
B1,劍道校隊,1,002 51470,一A.B.C.D五A.B.C.D
H8,跆拳校隊,1,002 51480,二A.B.C.D五A.B.C.D
B9,國術校隊,1,002 51490,四A.B.C六7.8.9
F4,射箭校隊,1,002 51500,二A.B.C四A.B.C
B7,重量訓練,1,002 51520,五0.1
C1,重量訓練,1,002 51520,一0.1
89,軟網初級,1,002 51600,一6.7
90,軟網初級,1,002 51600,二3.4
91,軟網初級,1,002 51600,四6.7
H2,跆拳道初級,1,002 51690,一6.7
H3,跆拳道初級,1,002 51690,五6.7
H4,跆拳道初級,1,002 51690,五8.9
M1,跆拳道初級,1,002 51690,四6.7
M2,跆拳道初級,1,002 51690,四8.9
62,室內五人制足球初級,1,002 51730,三6.7
63,室內五人制足球初級,1,002 51730,四6.7
64,室內五人制足球中級,1,002 51740,四8.9
15,壁球初級,1,002 51790,三8.9
F5,壁球初級,1,002 51790,二6.7
F6,壁球初級,1,002 51790,二8.9
F7,壁球初級,1,002 51790,四6.7
F8,壁球中級,1,002 51820,四8.9
69,適能瑜珈,1,002 51830,二1.2
70,適能瑜珈,1,002 51830,二3.4
27,男子柔道校隊,1,002 51860,一A.B.C.D三A.B.C.D
D5,女子柔道校隊,1,002 51870,一A.B.C.D三A.B.C.D
H7,防身術,1,002 51880,一8.9
21,氣功(選修體育),1,002 70520,二3.4
84,羽球中級（選修體育）,1,002 70790,一3.4
44,中網(選修體育),1,002 71270,五8.9
78,中網(選修體育),1,002 71270,三6.7網球場)
71,瑜珈（選修體育）,1,002 71370,五3.4
57,運動與體重管理（選修體育）,1,002 71390,二3.4
16,壁球(選修體育),1,002 71610,三6.7
01,全民國防教育軍事訓練課程－全民國防,,003 10190,二3.4
02,全民國防教育軍事訓練課程－全民國防,,003 10190,二6.7
03,全民國防教育軍事訓練課程－全民國防,,003 10190,三3.4
04,全民國防教育軍事訓練課程－全民國防,,003 10190,三6.7
05,全民國防教育軍事訓練課程－全民國防,,003 10190,四6.7
01,全民國防教育軍事訓練課程－防衛動員,,003 10210,一3.4
02,全民國防教育軍事訓練課程－防衛動員,,003 10210,一6.7
03,全民國防教育軍事訓練課程－防衛動員,,003 10210,二1.2
04,全民國防教育軍事訓練課程－防衛動員,,003 10210,三3.4
05,全民國防教育軍事訓練課程－防衛動員,,003 10210,三6.7
01,進階英語二(綜合),,004 20120,五8.9
02,進階英語二(綜合),,004 20120,二3.4
03,進階英語二(綜合),,004 20120,二6.7
04,進階英語二(綜合),,004E20120,一3.4
05,進階英語二(綜合),,004 20120,二8.9
06,進階英語二(綜合),,004 20120,一3.4
01,進階英語二(聽力),,004 20320,五3.4
02,進階英語二(聽力),,004 20320,四3.4
03,進階英語二(聽力),,004 20320,五6.7
,高階英語二,,004E40020,
,科技英語,,004E401T0,
,研究生線上英文一,,004EM0110,
,研究生線上英文二,,004EM0120,
,研究生線上英文三,,004EM0130,
,研究生線上英文四(人文社科),,004EM0140,
,研究生線上英文四(人文社科),,004EM0140,
,研究生線上英文四-科技與醫學,,004EM0150,
,研究生線上英文四-經濟與商業,,004EM0160,
01,服務學習二社會服務,,005 04220,
02,服務學習二社會服務,,005 04220,
03,服務學習二社會服務,,005 04220,
04,服務學習二社會服務,,005 04220,
05,服務學習二社會服務,,005 04220,
06,服務學習二社會服務,,005 04220,
01,服務學習三社會服務,,005 04330,
02,服務學習三社會服務,,005 04330,
03,服務學習三社會服務,,005 04330,
04,服務學習三社會服務,,005 04330,
05,服務學習三社會服務,,005 04330,
06,服務學習三社會服務,,005 04330,
08,服務學習三社會服務,,005 04330,
09,服務學習三社會服務,,005 04330,
,服務學習三藝文服務,,005 05330,
01,服務學習二各級學校育樂營,,005 06220,
02,服務學習二各級學校育樂營,,005 06220,
03,服務學習二各級學校育樂營,,005 06220,
04,服務學習二各級學校育樂營,,005 06220,
05,服務學習二各級學校育樂營,,005 06220,
06,服務學習二各級學校育樂營,,005 06220,
07,服務學習二各級學校育樂營,,005 06220,
08,服務學習二各級學校育樂營,,005 06220,
09,服務學習二各級學校育樂營,,005 06220,
01,服務學習三各級學校育樂營,,005 06330,
02,服務學習三各級學校育樂營,,005 06330,
03,服務學習三各級學校育樂營,,005 06330,
04,服務學習三各級學校育樂營,,005 06330,
05,服務學習三各級學校育樂營,,005 06330,
06,服務學習三各級學校育樂營,,005 06330,
07,服務學習三各級學校育樂營,,005 06330,
08,服務學習三各級學校育樂營,,005 06330,
,服務學習三海外服務,,005 07330,
01,服務學習二課業輔導,,005 08220,
03,服務學習二課業輔導,,005 08220,
04,服務學習二課業輔導,,005 08220,
05,服務學習二課業輔導,,005 08220,
06,服務學習二課業輔導,,005 08220,
01,服務學習三課業輔導,,005 08330,
02,服務學習三課業輔導,,005 08330,
,服務學習二保育服務,,005 09220,
,服務學習二宿舍服務,,005 10220,
01,服務學習（二）校內服務,,005 11220,
02,服務學習（二）校內服務,,005 11220,
03,服務學習（二）校內服務,,005 11220,
04,服務學習（二）校內服務,,005 11220,
01,服務學習（三）校內服務,,005 11330,
02,服務學習（三）校內服務,,005 11330,
03,服務學習（三）校內服務,,005 11330,
01,服務學習一,,101 00110,一5
01,服務學習一,,101 00110,一5
02,服務學習一,,101 00110,一5
02,服務學習一,,101 00110,一5
01,服務學習二,,101 00220,
01,服務學習二,,101 00220,
02,服務學習二,,101 00220,
02,服務學習二,,101 00220,
01,服務學習三,,101 00330,
01,服務學習三,,101 00330,
02,服務學習三,,101 00330,
02,服務學習三,,101 00330,
,中國傳統生命禮俗,2,101 11500,二6.7
,俠義文學,2,101 12500,一8.9
01,國學導讀下,2,101 14102,一3.4
02,國學導讀下,2,101 14102,一3.4
,中國歷史與文化下,2,101 14202,五8.9
02,文學概論進階討論下,1,101 14502,五5
,現代中文及習作一下,3,101 15812,二7.8.9
,現代中文及習作二下,3,101 15822,五2.3.4
01,文學概論下,2,101 18102,五3.4
02,文學概論下,2,101 18102,五3.4
,近現代文學史下,2,101 18702,一3.4
,書法習作下,2,101 19402,一8.9
,初級中國文字學下,2,101 19802,四8.9
,說文解字下,2,101 19902,五3.4
01,文字學乙下,2,101 211B2,四3.4
02,文字學乙下,2,101 211B2,四3.4
01,語言學概論甲下,2,101 212A2,四6.7
01,語言學概論甲下,2,101 212A2,四6.7
02,語言學概論甲下,2,101 212A2,四6.7
02,語言學概論甲下,2,101 212A2,四6.7
,四書甲下,2,101 220A2,五3.4
,左傳選讀,2,101 22300,三8.9
,國學概說下,2,101 22702,一3.4
,歷代文選下,2,101 22802,二3.4
,陸游詩,2,101 23800,五8.9
,經學文獻史,3,101 23900,三7.8.9
,中國文學史概說二,3,101 24920,四7.8.9
01,中國文學史下,3,101 25102,二2.3.4
02,中國文學史下,3,101 25102,二2.3.4
,中國文學史一下,2,101 25212,四3.4
,中國文學史二下,2,101 25222,四8.9
,史記甲下,2,101 255A2,三8.9
01,歷代文選及習作下,2,101 26002,二6.7
02,歷代文選及習作下,2,101 26002,二6.7
,目錄學,2,101 27000,四6.7
01,詩選及習作甲下,2,101 271A2,一8.9
02,詩選及習作甲下,2,101 271A2,一8.9
,現代詩選下,2,101 27702,四8.9
,音樂作品欣賞二,2,101 28320,四3.4
